1 Platforms found
1 Devices found
Max workgroup size is 1024
201 + 3895 = 4096
202 + 3894 = 4096
203 + 3893 = 4096
204 + 3892 = 4096
205 + 3891 = 4096
206 + 3890 = 4096
207 + 3889 = 4096
208 + 3888 = 4096
209 + 3887 = 4096
210 + 3886 = 4096
211 + 3885 = 4096
212 + 3884 = 4096
213 + 3883 = 4096
214 + 3882 = 4096
215 + 3881 = 4096
216 + 3880 = 4096
217 + 3879 = 4096
218 + 3878 = 4096
219 + 3877 = 4096
220 + 3876 = 4096
221 + 3875 = 4096
222 + 3874 = 4096
223 + 3873 = 4096
224 + 3872 = 4096
225 + 3871 = 4096
226 + 3870 = 4096
227 + 3869 = 4096
228 + 3868 = 4096
229 + 3867 = 4096
230 + 3866 = 4096
231 + 3865 = 4096
232 + 3864 = 4096
233 + 3863 = 4096
234 + 3862 = 4096
235 + 3861 = 4096
236 + 3860 = 4096
237 + 3859 = 4096
238 + 3858 = 4096
239 + 3857 = 4096
240 + 3856 = 4096
241 + 3855 = 4096
242 + 3854 = 4096
243 + 3853 = 4096
244 + 3852 = 4096
245 + 3851 = 4096
246 + 3850 = 4096
247 + 3849 = 4096
248 + 3848 = 4096
249 + 3847 = 4096
250 + 3846 = 4096
251 + 3845 = 4096
252 + 3844 = 4096
253 + 3843 = 4096
254 + 3842 = 4096
255 + 3841 = 4096
256 + 3840 = 4096
257 + 3839 = 4096
258 + 3838 = 4096
259 + 3837 = 4096
260 + 3836 = 4096
261 + 3835 = 4096
262 + 3834 = 4096
263 + 3833 = 4096
264 + 3832 = 4096
265 + 3831 = 4096
266 + 3830 = 4096
267 + 3829 = 4096
268 + 3828 = 4096
269 + 3827 = 4096
270 + 3826 = 4096
271 + 3825 = 4096
272 + 3824 = 4096
273 + 3823 = 4096
274 + 3822 = 4096
275 + 3821 = 4096
276 + 3820 = 4096
277 + 3819 = 4096
278 + 3818 = 4096
279 + 3817 = 4096
280 + 3816 = 4096
281 + 3815 = 4096
282 + 3814 = 4096
283 + 3813 = 4096
284 + 3812 = 4096
285 + 3811 = 4096
286 + 3810 = 4096
287 + 3809 = 4096
288 + 3808 = 4096
289 + 3807 = 4096
290 + 3806 = 4096
291 + 3805 = 4096
292 + 3804 = 4096
293 + 3803 = 4096
294 + 3802 = 4096
295 + 3801 = 4096
296 + 3800 = 4096
297 + 3799 = 4096
298 + 3798 = 4096
299 + 3797 = 4096
300 + 3796 = 4096
301 + 3795 = 4096
302 + 3794 = 4096
303 + 3793 = 4096
304 + 3792 = 4096
305 + 3791 = 4096
306 + 3790 = 4096
307 + 3789 = 4096
308 + 3788 = 4096
309 + 3787 = 4096
310 + 3786 = 4096
311 + 3785 = 4096
312 + 3784 = 4096
313 + 3783 = 4096
314 + 3782 = 4096
315 + 3781 = 4096
316 + 3780 = 4096
317 + 3779 = 4096
318 + 3778 = 4096
319 + 3777 = 4096
320 + 3776 = 4096
321 + 3775 = 4096
322 + 3774 = 4096
323 + 3773 = 4096
324 + 3772 = 4096
325 + 3771 = 4096
326 + 3770 = 4096
327 + 3769 = 4096
328 + 3768 = 4096
329 + 3767 = 4096
330 + 3766 = 4096
331 + 3765 = 4096
332 + 3764 = 4096
333 + 3763 = 4096
334 + 3762 = 4096
335 + 3761 = 4096
336 + 3760 = 4096
337 + 3759 = 4096
338 + 3758 = 4096
339 + 3757 = 4096
340 + 3756 = 4096
341 + 3755 = 4096
342 + 3754 = 4096
343 + 3753 = 4096
344 + 3752 = 4096
345 + 3751 = 4096
346 + 3750 = 4096
347 + 3749 = 4096
348 + 3748 = 4096
349 + 3747 = 4096
350 + 3746 = 4096
351 + 3745 = 4096
352 + 3744 = 4096
353 + 3743 = 4096
354 + 3742 = 4096
355 + 3741 = 4096
356 + 3740 = 4096
357 + 3739 = 4096
358 + 3738 = 4096
359 + 3737 = 4096
360 + 3736 = 4096
361 + 3735 = 4096
362 + 3734 = 4096
363 + 3733 = 4096
364 + 3732 = 4096
365 + 3731 = 4096
366 + 3730 = 4096
367 + 3729 = 4096
368 + 3728 = 4096
369 + 3727 = 4096
370 + 3726 = 4096
371 + 3725 = 4096
372 + 3724 = 4096
373 + 3723 = 4096
374 + 3722 = 4096
375 + 3721 = 4096
376 + 3720 = 4096
377 + 3719 = 4096
378 + 3718 = 4096
379 + 3717 = 4096
380 + 3716 = 4096
381 + 3715 = 4096
382 + 3714 = 4096
383 + 3713 = 4096
384 + 3712 = 4096
385 + 3711 = 4096
386 + 3710 = 4096
387 + 3709 = 4096
388 + 3708 = 4096
389 + 3707 = 4096
390 + 3706 = 4096
391 + 3705 = 4096
392 + 3704 = 4096
393 + 3703 = 4096
394 + 3702 = 4096
395 + 3701 = 4096
396 + 3700 = 4096
397 + 3699 = 4096
398 + 3698 = 4096
399 + 3697 = 4096
400 + 3696 = 4096
401 + 3695 = 4096
402 + 3694 = 4096
403 + 3693 = 4096
404 + 3692 = 4096
405 + 3691 = 4096
406 + 3690 = 4096
407 + 3689 = 4096
408 + 3688 = 4096
409 + 3687 = 4096
410 + 3686 = 4096
411 + 3685 = 4096
412 + 3684 = 4096
413 + 3683 = 4096
414 + 3682 = 4096
415 + 3681 = 4096
416 + 3680 = 4096
417 + 3679 = 4096
418 + 3678 = 4096
419 + 3677 = 4096
420 + 3676 = 4096
421 + 3675 = 4096
422 + 3674 = 4096
423 + 3673 = 4096
424 + 3672 = 4096
425 + 3671 = 4096
426 + 3670 = 4096
427 + 3669 = 4096
428 + 3668 = 4096
429 + 3667 = 4096
430 + 3666 = 4096
431 + 3665 = 4096
432 + 3664 = 4096
433 + 3663 = 4096
434 + 3662 = 4096
435 + 3661 = 4096
436 + 3660 = 4096
437 + 3659 = 4096
438 + 3658 = 4096
439 + 3657 = 4096
440 + 3656 = 4096
441 + 3655 = 4096
442 + 3654 = 4096
443 + 3653 = 4096
444 + 3652 = 4096
445 + 3651 = 4096
446 + 3650 = 4096
447 + 3649 = 4096
448 + 3648 = 4096
449 + 3647 = 4096
450 + 3646 = 4096
451 + 3645 = 4096
452 + 3644 = 4096
453 + 3643 = 4096
454 + 3642 = 4096
455 + 3641 = 4096
456 + 3640 = 4096
457 + 3639 = 4096
458 + 3638 = 4096
459 + 3637 = 4096
460 + 3636 = 4096
461 + 3635 = 4096
462 + 3634 = 4096
463 + 3633 = 4096
464 + 3632 = 4096
465 + 3631 = 4096
466 + 3630 = 4096
467 + 3629 = 4096
468 + 3628 = 4096
469 + 3627 = 4096
470 + 3626 = 4096
471 + 3625 = 4096
472 + 3624 = 4096
473 + 3623 = 4096
474 + 3622 = 4096
475 + 3621 = 4096
476 + 3620 = 4096
477 + 3619 = 4096
478 + 3618 = 4096
479 + 3617 = 4096
480 + 3616 = 4096
481 + 3615 = 4096
482 + 3614 = 4096
483 + 3613 = 4096
484 + 3612 = 4096
485 + 3611 = 4096
486 + 3610 = 4096
487 + 3609 = 4096
488 + 3608 = 4096
489 + 3607 = 4096
490 + 3606 = 4096
491 + 3605 = 4096
492 + 3604 = 4096
493 + 3603 = 4096
494 + 3602 = 4096
495 + 3601 = 4096
496 + 3600 = 4096
497 + 3599 = 4096
498 + 3598 = 4096
499 + 3597 = 4096
500 + 3596 = 4096
501 + 3595 = 4096
502 + 3594 = 4096
503 + 3593 = 4096
504 + 3592 = 4096
505 + 3591 = 4096
506 + 3590 = 4096
507 + 3589 = 4096
508 + 3588 = 4096
509 + 3587 = 4096
510 + 3586 = 4096
511 + 3585 = 4096
512 + 3584 = 4096
513 + 3583 = 4096
514 + 3582 = 4096
515 + 3581 = 4096
516 + 3580 = 4096
517 + 3579 = 4096
518 + 3578 = 4096
519 + 3577 = 4096
520 + 3576 = 4096
521 + 3575 = 4096
522 + 3574 = 4096
523 + 3573 = 4096
524 + 3572 = 4096
525 + 3571 = 4096
526 + 3570 = 4096
527 + 3569 = 4096
528 + 3568 = 4096
529 + 3567 = 4096
530 + 3566 = 4096
531 + 3565 = 4096
532 + 3564 = 4096
533 + 3563 = 4096
534 + 3562 = 4096
535 + 3561 = 4096
536 + 3560 = 4096
537 + 3559 = 4096
538 + 3558 = 4096
539 + 3557 = 4096
540 + 3556 = 4096
541 + 3555 = 4096
542 + 3554 = 4096
543 + 3553 = 4096
544 + 3552 = 4096
545 + 3551 = 4096
546 + 3550 = 4096
547 + 3549 = 4096
548 + 3548 = 4096
549 + 3547 = 4096
550 + 3546 = 4096
551 + 3545 = 4096
552 + 3544 = 4096
553 + 3543 = 4096
554 + 3542 = 4096
555 + 3541 = 4096
556 + 3540 = 4096
557 + 3539 = 4096
558 + 3538 = 4096
559 + 3537 = 4096
560 + 3536 = 4096
561 + 3535 = 4096
562 + 3534 = 4096
563 + 3533 = 4096
564 + 3532 = 4096
565 + 3531 = 4096
566 + 3530 = 4096
567 + 3529 = 4096
568 + 3528 = 4096
569 + 3527 = 4096
570 + 3526 = 4096
571 + 3525 = 4096
572 + 3524 = 4096
573 + 3523 = 4096
574 + 3522 = 4096
575 + 3521 = 4096
576 + 3520 = 4096
577 + 3519 = 4096
578 + 3518 = 4096
579 + 3517 = 4096
580 + 3516 = 4096
581 + 3515 = 4096
582 + 3514 = 4096
583 + 3513 = 4096
584 + 3512 = 4096
585 + 3511 = 4096
586 + 3510 = 4096
587 + 3509 = 4096
588 + 3508 = 4096
589 + 3507 = 4096
590 + 3506 = 4096
591 + 3505 = 4096
592 + 3504 = 4096
593 + 3503 = 4096
594 + 3502 = 4096
595 + 3501 = 4096
596 + 3500 = 4096
597 + 3499 = 4096
598 + 3498 = 4096
599 + 3497 = 4096
600 + 3496 = 4096
601 + 3495 = 4096
602 + 3494 = 4096
603 + 3493 = 4096
604 + 3492 = 4096
605 + 3491 = 4096
606 + 3490 = 4096
607 + 3489 = 4096
608 + 3488 = 4096
609 + 3487 = 4096
610 + 3486 = 4096
611 + 3485 = 4096
612 + 3484 = 4096
613 + 3483 = 4096
614 + 3482 = 4096
615 + 3481 = 4096
616 + 3480 = 4096
617 + 3479 = 4096
618 + 3478 = 4096
619 + 3477 = 4096
620 + 3476 = 4096
621 + 3475 = 4096
622 + 3474 = 4096
623 + 3473 = 4096
624 + 3472 = 4096
625 + 3471 = 4096
626 + 3470 = 4096
627 + 3469 = 4096
628 + 3468 = 4096
629 + 3467 = 4096
630 + 3466 = 4096
631 + 3465 = 4096
632 + 3464 = 4096
633 + 3463 = 4096
634 + 3462 = 4096
635 + 3461 = 4096
636 + 3460 = 4096
637 + 3459 = 4096
638 + 3458 = 4096
639 + 3457 = 4096
640 + 3456 = 4096
641 + 3455 = 4096
642 + 3454 = 4096
643 + 3453 = 4096
644 + 3452 = 4096
645 + 3451 = 4096
646 + 3450 = 4096
647 + 3449 = 4096
648 + 3448 = 4096
649 + 3447 = 4096
650 + 3446 = 4096
651 + 3445 = 4096
652 + 3444 = 4096
653 + 3443 = 4096
654 + 3442 = 4096
655 + 3441 = 4096
656 + 3440 = 4096
657 + 3439 = 4096
658 + 3438 = 4096
659 + 3437 = 4096
660 + 3436 = 4096
661 + 3435 = 4096
662 + 3434 = 4096
663 + 3433 = 4096
664 + 3432 = 4096
665 + 3431 = 4096
666 + 3430 = 4096
667 + 3429 = 4096
668 + 3428 = 4096
669 + 3427 = 4096
670 + 3426 = 4096
671 + 3425 = 4096
672 + 3424 = 4096
673 + 3423 = 4096
674 + 3422 = 4096
675 + 3421 = 4096
676 + 3420 = 4096
677 + 3419 = 4096
678 + 3418 = 4096
679 + 3417 = 4096
680 + 3416 = 4096
681 + 3415 = 4096
682 + 3414 = 4096
683 + 3413 = 4096
684 + 3412 = 4096
685 + 3411 = 4096
686 + 3410 = 4096
687 + 3409 = 4096
688 + 3408 = 4096
689 + 3407 = 4096
690 + 3406 = 4096
691 + 3405 = 4096
692 + 3404 = 4096
693 + 3403 = 4096
694 + 3402 = 4096
695 + 3401 = 4096
696 + 3400 = 4096
697 + 3399 = 4096
698 + 3398 = 4096
699 + 3397 = 4096
700 + 3396 = 4096
701 + 3395 = 4096
702 + 3394 = 4096
703 + 3393 = 4096
704 + 3392 = 4096
705 + 3391 = 4096
706 + 3390 = 4096
707 + 3389 = 4096
708 + 3388 = 4096
709 + 3387 = 4096
710 + 3386 = 4096
711 + 3385 = 4096
712 + 3384 = 4096
713 + 3383 = 4096
714 + 3382 = 4096
715 + 3381 = 4096
716 + 3380 = 4096
717 + 3379 = 4096
718 + 3378 = 4096
719 + 3377 = 4096
720 + 3376 = 4096
721 + 3375 = 4096
722 + 3374 = 4096
723 + 3373 = 4096
724 + 3372 = 4096
725 + 3371 = 4096
726 + 3370 = 4096
727 + 3369 = 4096
728 + 3368 = 4096
729 + 3367 = 4096
730 + 3366 = 4096
731 + 3365 = 4096
732 + 3364 = 4096
733 + 3363 = 4096
734 + 3362 = 4096
735 + 3361 = 4096
736 + 3360 = 4096
737 + 3359 = 4096
738 + 3358 = 4096
739 + 3357 = 4096
740 + 3356 = 4096
741 + 3355 = 4096
742 + 3354 = 4096
743 + 3353 = 4096
744 + 3352 = 4096
745 + 3351 = 4096
746 + 3350 = 4096
747 + 3349 = 4096
748 + 3348 = 4096
749 + 3347 = 4096
750 + 3346 = 4096
751 + 3345 = 4096
752 + 3344 = 4096
753 + 3343 = 4096
754 + 3342 = 4096
755 + 3341 = 4096
756 + 3340 = 4096
757 + 3339 = 4096
758 + 3338 = 4096
759 + 3337 = 4096
760 + 3336 = 4096
761 + 3335 = 4096
762 + 3334 = 4096
763 + 3333 = 4096
764 + 3332 = 4096
765 + 3331 = 4096
766 + 3330 = 4096
767 + 3329 = 4096
768 + 3328 = 4096
769 + 3327 = 4096
770 + 3326 = 4096
771 + 3325 = 4096
772 + 3324 = 4096
773 + 3323 = 4096
774 + 3322 = 4096
775 + 3321 = 4096
776 + 3320 = 4096
777 + 3319 = 4096
778 + 3318 = 4096
779 + 3317 = 4096
780 + 3316 = 4096
781 + 3315 = 4096
782 + 3314 = 4096
783 + 3313 = 4096
784 + 3312 = 4096
785 + 3311 = 4096
786 + 3310 = 4096
787 + 3309 = 4096
788 + 3308 = 4096
789 + 3307 = 4096
790 + 3306 = 4096
791 + 3305 = 4096
792 + 3304 = 4096
793 + 3303 = 4096
794 + 3302 = 4096
795 + 3301 = 4096
796 + 3300 = 4096
797 + 3299 = 4096
798 + 3298 = 4096
799 + 3297 = 4096
800 + 3296 = 4096
801 + 3295 = 4096
802 + 3294 = 4096
803 + 3293 = 4096
804 + 3292 = 4096
805 + 3291 = 4096
806 + 3290 = 4096
807 + 3289 = 4096
808 + 3288 = 4096
809 + 3287 = 4096
810 + 3286 = 4096
811 + 3285 = 4096
812 + 3284 = 4096
813 + 3283 = 4096
814 + 3282 = 4096
815 + 3281 = 4096
816 + 3280 = 4096
817 + 3279 = 4096
818 + 3278 = 4096
819 + 3277 = 4096
820 + 3276 = 4096
821 + 3275 = 4096
822 + 3274 = 4096
823 + 3273 = 4096
824 + 3272 = 4096
825 + 3271 = 4096
826 + 3270 = 4096
827 + 3269 = 4096
828 + 3268 = 4096
829 + 3267 = 4096
830 + 3266 = 4096
831 + 3265 = 4096
832 + 3264 = 4096
833 + 3263 = 4096
834 + 3262 = 4096
835 + 3261 = 4096
836 + 3260 = 4096
837 + 3259 = 4096
838 + 3258 = 4096
839 + 3257 = 4096
840 + 3256 = 4096
841 + 3255 = 4096
842 + 3254 = 4096
843 + 3253 = 4096
844 + 3252 = 4096
845 + 3251 = 4096
846 + 3250 = 4096
847 + 3249 = 4096
848 + 3248 = 4096
849 + 3247 = 4096
850 + 3246 = 4096
851 + 3245 = 4096
852 + 3244 = 4096
853 + 3243 = 4096
854 + 3242 = 4096
855 + 3241 = 4096
856 + 3240 = 4096
857 + 3239 = 4096
858 + 3238 = 4096
859 + 3237 = 4096
860 + 3236 = 4096
861 + 3235 = 4096
862 + 3234 = 4096
863 + 3233 = 4096
864 + 3232 = 4096
865 + 3231 = 4096
866 + 3230 = 4096
867 + 3229 = 4096
868 + 3228 = 4096
869 + 3227 = 4096
870 + 3226 = 4096
871 + 3225 = 4096
872 + 3224 = 4096
873 + 3223 = 4096
874 + 3222 = 4096
875 + 3221 = 4096
876 + 3220 = 4096
877 + 3219 = 4096
878 + 3218 = 4096
879 + 3217 = 4096
880 + 3216 = 4096
881 + 3215 = 4096
882 + 3214 = 4096
883 + 3213 = 4096
884 + 3212 = 4096
885 + 3211 = 4096
886 + 3210 = 4096
887 + 3209 = 4096
888 + 3208 = 4096
889 + 3207 = 4096
890 + 3206 = 4096
891 + 3205 = 4096
892 + 3204 = 4096
893 + 3203 = 4096
894 + 3202 = 4096
895 + 3201 = 4096
896 + 3200 = 4096
897 + 3199 = 4096
898 + 3198 = 4096
899 + 3197 = 4096
900 + 3196 = 4096
901 + 3195 = 4096
902 + 3194 = 4096
903 + 3193 = 4096
904 + 3192 = 4096
905 + 3191 = 4096
906 + 3190 = 4096
907 + 3189 = 4096
908 + 3188 = 4096
909 + 3187 = 4096
910 + 3186 = 4096
911 + 3185 = 4096
912 + 3184 = 4096
913 + 3183 = 4096
914 + 3182 = 4096
915 + 3181 = 4096
916 + 3180 = 4096
917 + 3179 = 4096
918 + 3178 = 4096
919 + 3177 = 4096
920 + 3176 = 4096
921 + 3175 = 4096
922 + 3174 = 4096
923 + 3173 = 4096
924 + 3172 = 4096
925 + 3171 = 4096
926 + 3170 = 4096
927 + 3169 = 4096
928 + 3168 = 4096
929 + 3167 = 4096
930 + 3166 = 4096
931 + 3165 = 4096
932 + 3164 = 4096
933 + 3163 = 4096
934 + 3162 = 4096
935 + 3161 = 4096
936 + 3160 = 4096
937 + 3159 = 4096
938 + 3158 = 4096
939 + 3157 = 4096
940 + 3156 = 4096
941 + 3155 = 4096
942 + 3154 = 4096
943 + 3153 = 4096
944 + 3152 = 4096
945 + 3151 = 4096
946 + 3150 = 4096
947 + 3149 = 4096
948 + 3148 = 4096
949 + 3147 = 4096
950 + 3146 = 4096
951 + 3145 = 4096
952 + 3144 = 4096
953 + 3143 = 4096
954 + 3142 = 4096
955 + 3141 = 4096
956 + 3140 = 4096
957 + 3139 = 4096
958 + 3138 = 4096
959 + 3137 = 4096
960 + 3136 = 4096
961 + 3135 = 4096
962 + 3134 = 4096
963 + 3133 = 4096
964 + 3132 = 4096
965 + 3131 = 4096
966 + 3130 = 4096
967 + 3129 = 4096
968 + 3128 = 4096
969 + 3127 = 4096
970 + 3126 = 4096
971 + 3125 = 4096
972 + 3124 = 4096
973 + 3123 = 4096
974 + 3122 = 4096
975 + 3121 = 4096
976 + 3120 = 4096
977 + 3119 = 4096
978 + 3118 = 4096
979 + 3117 = 4096
980 + 3116 = 4096
981 + 3115 = 4096
982 + 3114 = 4096
983 + 3113 = 4096
984 + 3112 = 4096
985 + 3111 = 4096
986 + 3110 = 4096
987 + 3109 = 4096
988 + 3108 = 4096
989 + 3107 = 4096
990 + 3106 = 4096
991 + 3105 = 4096
992 + 3104 = 4096
993 + 3103 = 4096
994 + 3102 = 4096
995 + 3101 = 4096
996 + 3100 = 4096
997 + 3099 = 4096
998 + 3098 = 4096
999 + 3097 = 4096
1000 + 3096 = 4096
1001 + 3095 = 4096
1002 + 3094 = 4096
1003 + 3093 = 4096
1004 + 3092 = 4096
1005 + 3091 = 4096
1006 + 3090 = 4096
1007 + 3089 = 4096
1008 + 3088 = 4096
1009 + 3087 = 4096
1010 + 3086 = 4096
1011 + 3085 = 4096
1012 + 3084 = 4096
1013 + 3083 = 4096
1014 + 3082 = 4096
1015 + 3081 = 4096
1016 + 3080 = 4096
1017 + 3079 = 4096
1018 + 3078 = 4096
1019 + 3077 = 4096
1020 + 3076 = 4096
1021 + 3075 = 4096
1022 + 3074 = 4096
1023 + 3073 = 4096
1024 + 3072 = 4096
1025 + 3071 = 4096
1026 + 3070 = 4096
1027 + 3069 = 4096
1028 + 3068 = 4096
1029 + 3067 = 4096
1030 + 3066 = 4096
1031 + 3065 = 4096
1032 + 3064 = 4096
1033 + 3063 = 4096
1034 + 3062 = 4096
1035 + 3061 = 4096
1036 + 3060 = 4096
1037 + 3059 = 4096
1038 + 3058 = 4096
1039 + 3057 = 4096
1040 + 3056 = 4096
1041 + 3055 = 4096
1042 + 3054 = 4096
1043 + 3053 = 4096
1044 + 3052 = 4096
1045 + 3051 = 4096
1046 + 3050 = 4096
1047 + 3049 = 4096
1048 + 3048 = 4096
1049 + 3047 = 4096
1050 + 3046 = 4096
1051 + 3045 = 4096
1052 + 3044 = 4096
1053 + 3043 = 4096
1054 + 3042 = 4096
1055 + 3041 = 4096
1056 + 3040 = 4096
1057 + 3039 = 4096
1058 + 3038 = 4096
1059 + 3037 = 4096
1060 + 3036 = 4096
1061 + 3035 = 4096
1062 + 3034 = 4096
1063 + 3033 = 4096
1064 + 3032 = 4096
1065 + 3031 = 4096
1066 + 3030 = 4096
1067 + 3029 = 4096
1068 + 3028 = 4096
1069 + 3027 = 4096
1070 + 3026 = 4096
1071 + 3025 = 4096
1072 + 3024 = 4096
1073 + 3023 = 4096
1074 + 3022 = 4096
1075 + 3021 = 4096
1076 + 3020 = 4096
1077 + 3019 = 4096
1078 + 3018 = 4096
1079 + 3017 = 4096
1080 + 3016 = 4096
1081 + 3015 = 4096
1082 + 3014 = 4096
1083 + 3013 = 4096
1084 + 3012 = 4096
1085 + 3011 = 4096
1086 + 3010 = 4096
1087 + 3009 = 4096
1088 + 3008 = 4096
1089 + 3007 = 4096
1090 + 3006 = 4096
1091 + 3005 = 4096
1092 + 3004 = 4096
1093 + 3003 = 4096
1094 + 3002 = 4096
1095 + 3001 = 4096
1096 + 3000 = 4096
1097 + 2999 = 4096
1098 + 2998 = 4096
1099 + 2997 = 4096
1100 + 2996 = 4096
1101 + 2995 = 4096
1102 + 2994 = 4096
1103 + 2993 = 4096
1104 + 2992 = 4096
1105 + 2991 = 4096
1106 + 2990 = 4096
1107 + 2989 = 4096
1108 + 2988 = 4096
1109 + 2987 = 4096
1110 + 2986 = 4096
1111 + 2985 = 4096
1112 + 2984 = 4096
1113 + 2983 = 4096
1114 + 2982 = 4096
1115 + 2981 = 4096
1116 + 2980 = 4096
1117 + 2979 = 4096
1118 + 2978 = 4096
1119 + 2977 = 4096
1120 + 2976 = 4096
1121 + 2975 = 4096
1122 + 2974 = 4096
1123 + 2973 = 4096
1124 + 2972 = 4096
1125 + 2971 = 4096
1126 + 2970 = 4096
1127 + 2969 = 4096
1128 + 2968 = 4096
1129 + 2967 = 4096
1130 + 2966 = 4096
1131 + 2965 = 4096
1132 + 2964 = 4096
1133 + 2963 = 4096
1134 + 2962 = 4096
1135 + 2961 = 4096
1136 + 2960 = 4096
1137 + 2959 = 4096
1138 + 2958 = 4096
1139 + 2957 = 4096
1140 + 2956 = 4096
1141 + 2955 = 4096
1142 + 2954 = 4096
1143 + 2953 = 4096
1144 + 2952 = 4096
1145 + 2951 = 4096
1146 + 2950 = 4096
1147 + 2949 = 4096
1148 + 2948 = 4096
